seq_len,iso_count,n_dons,n_accs,time
350,11,8,5,3.0279159545898438e-05
350,10,6,8,2.9325485229492188e-05
350,8,3,6,2.0742416381835938e-05
350,3,6,4,2.0503997802734375e-05
350,11,6,6,2.8371810913085938e-05
350,7,7,6,2.6702880859375e-05
350,4,2,7,1.8596649169921875e-05
350,24,8,7,5.125999450683594e-05
350,0,4,4,1.71661376953125e-05
350,21,9,8,4.124641418457031e-05
350,8,5,6,2.3126602172851562e-05
350,1,6,5,1.9550323486328125e-05
350,9,7,6,2.5987625122070312e-05
350,6,5,6,2.1696090698242188e-05
350,8,3,8,2.1457672119140625e-05
350,7,5,5,2.3365020751953125e-05
350,3,4,4,2.0265579223632812e-05
350,8,7,6,2.6941299438476562e-05
350,2,1,4,1.6689300537109375e-05
350,2,8,6,2.193450927734375e-05
350,1,5,2,1.9550323486328125e-05
350,7,5,5,2.4557113647460938e-05
350,6,5,3,2.1219253540039062e-05
350,12,8,3,2.956390380859375e-05
350,6,5,7,2.2411346435546875e-05
350,5,5,5,2.1457672119140625e-05
350,16,7,9,3.5762786865234375e-05
350,24,7,13,4.696846008300781e-05
350,12,4,11,2.7418136596679688e-05
350,12,12,6,3.981590270996094e-05
350,6,8,7,2.9087066650390625e-05
350,4,6,7,2.3603439331054688e-05
350,21,7,9,3.361701965332031e-05
350,12,5,9,2.8371810913085938e-05
350,2,4,7,1.9073486328125e-05
350,3,6,6,2.1696090698242188e-05
350,0,6,2,1.71661376953125e-05
350,4,6,3,2.288818359375e-05
350,0,5,4,1.71661376953125e-05
350,10,6,4,2.5272369384765625e-05
350,7,4,6,2.2649765014648438e-05
350,19,6,7,3.147125244140625e-05
350,6,6,6,2.574920654296875e-05
350,8,8,6,2.8133392333984375e-05
350,0,6,4,1.7881393432617188e-05
350,23,5,9,3.2901763916015625e-05
350,14,8,7,3.7670135498046875e-05
350,0,4,4,1.6927719116210938e-05
350,2,6,6,2.0742416381835938e-05
350,1,4,5,1.7642974853515625e-05
350,0,4,3,1.6450881958007812e-05
350,6,7,5,2.4318695068359375e-05
400,63,8,11,9.584426879882812e-05
400,52,6,14,6.580352783203125e-05
400,44,10,12,8.392333984375e-05
400,32,11,10,7.295608520507812e-05
400,26,8,14,6.365776062011719e-05
400,22,7,8,4.482269287109375e-05
400,57,13,8,9.274482727050781e-05
400,9,8,7,3.886222839355469e-05
400,28,8,7,5.125999450683594e-05
400,12,6,5,3.528594970703125e-05
400,13,6,9,4.172325134277344e-05
400,14,6,8,4.076957702636719e-05
400,43,8,11,6.246566772460938e-05
400,26,12,7,6.461143493652344e-05
400,40,10,9,7.867813110351562e-05
400,16,8,14,4.839897155761719e-05
400,5,6,3,2.8133392333984375e-05
400,19,4,8,3.719329833984375e-05
400,31,10,6,4.887580871582031e-05
400,17,11,6,4.863739013671875e-05
400,4,4,5,2.6941299438476562e-05
400,25,11,8,6.890296936035156e-05
400,28,6,9,4.649162292480469e-05
400,18,11,8,4.982948303222656e-05
400,17,8,6,4.291534423828125e-05
400,14,11,6,5.340576171875e-05
400,22,6,7,3.719329833984375e-05
400,11,12,6,4.7206878662109375e-05
400,2,5,8,2.6464462280273438e-05
400,9,4,7,2.9325485229492188e-05
400,37,6,14,5.7697296142578125e-05
400,17,4,11,3.647804260253906e-05
400,18,10,6,5.269050598144531e-05
400,13,4,7,3.5762786865234375e-05
400,11,10,7,6.008148193359375e-05
400,4,5,6,2.7179718017578125e-05
400,43,11,8,8.96453857421875e-05
400,30,12,7,7.748603820800781e-05
400,11,11,5,4.410743713378906e-05
400,21,10,11,7.653236389160156e-05
400,63,12,13,0.00010704994201660156
400,33,10,7,6.842613220214844e-05
400,5,8,8,3.6716461181640625e-05
400,13,7,6,5.4836273193359375e-05
400,17,8,8,4.029273986816406e-05
400,5,7,7,3.4332275390625e-05
400,8,7,10,3.2901763916015625e-05
400,47,11,9,9.703636169433594e-05
400,8,5,10,3.4332275390625e-05
400,15,6,13,4.363059997558594e-05
400,3,7,2,2.6702880859375e-05
400,39,12,9,8.034706115722656e-05
400,23,8,9,5.698204040527344e-05
400,4,6,7,3.409385681152344e-05
400,33,10,7,5.626678466796875e-05
400,12,3,6,2.8848648071289062e-05
400,10,9,4,3.719329833984375e-05
400,10,7,5,4.1961669921875e-05
400,8,7,9,3.910064697265625e-05
400,27,6,13,5.173683166503906e-05
400,28,10,9,6.413459777832031e-05
400,81,8,11,9.417533874511719e-05
400,59,14,11,0.00013637542724609375
400,6,4,9,3.170967102050781e-05
400,26,10,8,4.696846008300781e-05
400,15,11,5,3.9577484130859375e-05
400,26,11,7,5.2928924560546875e-05
400,37,11,11,9.393692016601562e-05
400,24,8,8,5.507469177246094e-05
400,0,9,2,2.3603439331054688e-05
400,28,9,6,6.103515625e-05
400,25,11,10,5.7697296142578125e-05
400,7,8,6,3.838539123535156e-05
400,20,9,8,5.555152893066406e-05
400,16,9,12,4.935264587402344e-05
400,16,6,6,3.743171691894531e-05
400,4,4,7,2.6464462280273438e-05
400,22,5,10,4.38690185546875e-05
400,89,13,6,0.00010609626770019531
400,5,3,8,2.6941299438476562e-05
400,50,8,12,7.62939453125e-05
400,7,7,4,2.9325485229492188e-05
400,17,5,12,4.5299530029296875e-05
400,15,6,9,3.7670135498046875e-05
400,31,8,12,6.532669067382812e-05
400,27,13,8,6.4849853515625e-05
400,45,10,6,7.653236389160156e-05
400,12,9,7,4.363059997558594e-05
400,22,11,7,4.744529724121094e-05
400,5,5,8,2.7418136596679688e-05
400,18,7,9,4.291534423828125e-05
400,7,4,8,3.0994415283203125e-05
400,16,6,7,3.600120544433594e-05
400,12,8,9,4.100799560546875e-05
400,7,9,4,3.218650817871094e-05
400,7,4,7,3.170967102050781e-05
400,21,8,6,5.054473876953125e-05
400,7,6,11,3.0517578125e-05
400,11,6,12,3.62396240234375e-05
400,11,3,6,2.9325485229492188e-05
450,47,15,11,0.00018787384033203125
450,211,10,15,0.0002646446228027344
450,297,10,16,0.0003910064697265625
450,26,9,7,5.316734313964844e-05
450,92,6,16,0.00013446807861328125
450,134,15,10,0.00034737586975097656
450,141,14,14,0.00019860267639160156
450,47,7,13,8.034706115722656e-05
450,16,10,5,5.602836608886719e-05
450,244,13,15,0.0002758502960205078
450,137,14,10,0.00022077560424804688
